iTunes_ID,wrapperType,movie_title,artist_id,artist_name,rental_price,main_price,hd_main_price,hd_rental_price,releaseDate,country,currency,synopsis,genre,runtime,rate_to_USD,main_price_USD,rental_price_USD,hd_main_price_USD,hd_rental_price_USD,relDate_DT,days_from_release
1394664988.0,track,Jurassic World: Fallen Kingdom,,Juan Antonio Bayona,5.99,19.99,19.99,5.99,2018-06-22T07:00:00Z,USA,USD,"With all of the wonder, adventure and thrills synonymous with one of the most popular and successful series in cinema history, this all-new motion-picture event sees the return of favorite characters and dinosaurs—along with new breeds more awe-inspiring and terrifying than ever before. Welcome to ""Jurassic World: Fallen Kingdom."" Stars Pratt and Howard return alongside executive producers Steven Spielberg and Colin Trevorrow for ""Jurassic World: Fallen Kingdom."" They are joined by co-stars James Cromwell, Ted Levine, Justice Smith, Geraldine Chaplin, Daniella Pineda, Toby Jones, Rafe Spall and Isabella Sermon, while B.D. Wong and Jeff Goldblum reprise their roles.",Action & Adventure,7697983.0,1.0,19.99,5.99,19.99,5.99,2018-06-22 07:00:00,201
1434788091.0,track,The Dawn Wall,,Josh Lowell & Peter Mortimer,5.99,12.99,14.99,5.99,2018-09-19T07:00:00Z,USA,USD,"In January, 2015, American rock climbers Tommy Caldwell and Kevin Jorgeson captivated the world with their effort to climb the Dawn Wall, a seemingly impossible 3,000 foot rock face in Yosemite National Park, California. The pair lived on the sheer vertical cliff for weeks, igniting a frenzy of global media attention. But for Tommy Caldwell, the Dawn Wall was much more than just a climb. It was the culmination of a lifetime defined by overcoming obstacles. At the age of 22, the climbing prodigy was taken hostage by rebels in Kyrgyzstan. Shortly after, he lost his index finger in an accident, but resolved to come back stronger. When his marriage fell apart, he escaped the pain by fixating on the extraordinary goal of free climbing the Dawn Wall. Blurring the line between dedication and obsession, Caldwell and his partner Jorgeson spend six years meticulously plotting and practicing their route. On the final attempt, with the world watching, Caldwell is faced with a moment of truth. Should he abandon his partner to fulfill his ultimate dream, or risk his own success for the sake of their friendship?",Documentary,6024767.0,1.0,12.99,5.99,14.99,5.99,2018-09-19 07:00:00,112
270711082.0,track,Die Hard,,John McTiernan,3.99,9.99,9.99,3.99,1988-07-15T07:00:00Z,USA,USD,"Facing Christmas 3,000 miles from his estranged wife and two children, New York policeman John McClane (Bruce Willis) flies to Los Angeles bearing presents and hoping to patch up his marriage.  Stylish and cool Hans Gruber (Alan Rickman) is in Los Angeles as well for the holiday season, but he's not there to give out presents. He's there to take: more than $600 million in negotiable bearer bonds from the multinational Nakatomi Corporation, where McClane's wife Holly (Bonnie Bedelia) is an executive. When the takeover becomes hostile, it's up to John McClane to take on the terrorists with all the grit and determination he can muster--but not without a sense of humor.",Action & Adventure,7935768.0,1.0,9.99,3.99,9.99,3.99,1988-07-15 07:00:00,11135
1354248992.0,track,Ready Player One,,Steven Spielberg,,19.99,19.99,,2018-03-29T07:00:00Z,USA,USD,"From filmmaker Steven Spielberg comes the science fiction action adventure “Ready Player One,” based on Ernest Cline’s bestseller of the same name. The film is set in 2045, with the world on the brink of chaos and collapse. But the people have found salvation in the OASIS, an expansive virtual reality universe created by the brilliant and eccentric James Halliday (Mark Rylance). When Halliday dies, he leaves his immense fortune to the first person to find a digital Easter egg he has hidden somewhere in the OASIS, sparking a contest that grips the entire world. When an unlikely young hero named Wade Watts (Tye Sheridan) decides to join the contest, he is hurled into a breakneck, reality-bending treasure hunt through a fantastical universe of mystery, discovery and danger.",Action & Adventure,8395680.0,1.0,19.99,,19.99,,2018-03-29 07:00:00,286
293810407.0,track,The Searchers,,John Ford,3.99,12.99,12.99,3.99,1956-03-13T08:00:00Z,USA,USD,"Working together for the 12th time, John Wayne and director John Ford forged The Searchers into an indelible image of the frontier and the men and women who challenged it. Wayne plays ex-Confederate soldier Ethan Edwards, a believer more in bullets than in words. He's seeking his niece, captured by Comanches who massacred his family. He won't surrender to hunger, thirst, the elements or loneliness. And in his obsessive, five-year quest, Ethan encounters something he didn't expect to find: his own humanity.",Western,7129592.0,1.0,12.99,3.99,12.99,3.99,1956-03-13 08:00:00,22947
1405620210.0,track,Skyscraper,,Rawson Marshall Thurber,5.99,14.99,14.99,5.99,2018-07-13T07:00:00Z,USA,USD,"Former FBI Hostage Rescue Team leader and U.S. war veteran Will Sawyer (Dwayne Johnson) now assesses security for skyscrapers. He's on assignment in China when he finds the tallest, safest building in the world suddenly ablaze, and he's been framed for it. A wanted man on the run, Will must find those responsible, clear his name and somehow rescue his family, who are trapped inside the building, above the fire line.",Action & Adventure,6144480.0,1.0,14.99,5.99,14.99,5.99,2018-07-13 07:00:00,180
1437697944.0,track,Time Trap,,Mark Dennis & Ben Foster,4.99,9.99,9.99,4.99,2018-11-02T07:00:00Z,USA,USD,"A group of students becomes trapped deep in a mysterious cave when they go in search of their archaeology professor, who has gone missing while searching for the Fountain of Youth. While underground, they discover a break in the space-time continuum where time passes much slower than on the surface. As they descend further with no hope of rescue, they uncover the most coveted legend in history.",Action & Adventure,5261343.0,1.0,9.99,4.99,9.99,4.99,2018-11-02 07:00:00,68
357620152.0,track,The Book of Eli,,Albert Hughes & Allen Hughes,3.99,14.99,14.99,3.99,2010-01-15T08:00:00Z,USA,USD,"In the not-too-distant future, some 30 years after the final war, a solitary man walks across the wasteland that was once America. A warrior not by choice but necessity, Eli (Denzel Washington) seeks only peace but, if challenged, will cut his attackers down before they realize their fatal mistake. It's not his life he guards so fiercely but his hope for the future; a hope he has carried and protected for 30 years and is determined to realize. Driven by this commitment and guided by his belief in something greater than himself, Eli does what he must to survive--and continue. Only one other man in this ruined world understands the power Eli holds, and is determined to make it his own: Carnegie (Gary Oldman), the self-appointed despot of a makeshift town of thieves and gunmen. Meanwhile, Carnegie's adopted daughter Solara (Mila Kunis) is fascinated by Eli for another reason: the glimpse he offers of what may exist beyond her stepfather's domain.",Action & Adventure,7058463.0,1.0,14.99,3.99,14.99,3.99,2010-01-15 08:00:00,3281
271146652.0,track,300,,Zack Snyder,3.99,14.99,14.99,3.99,2007-04-05T07:00:00Z,USA,USD,"The epic graphic novel by Frank Miller (Sin City) assaults the screen with the blood, thunder and awe of its ferocious visual style faithfully recreated in an intense blend of live-action and CGI animation. Retelling the ancient Battle of Thermopylae, it depicts the titanic clash in which King Leonidas (Gerard Butler) and 300 Spartans fought to the death against Xerxes (Rodrigo Santoro) and his massive Persian army. Experience history at swordpoint. And moviemaking with a cutting edge.",Action & Adventure,6995055.0,1.0,14.99,3.99,14.99,3.99,2007-04-05 07:00:00,4297
278424599.0,track,Wyatt Earp,,Lawrence Kasdan,3.99,12.99,12.99,3.99,1994-09-01T07:00:00Z,USA,USD,"Kevin Costner plays the most famous lawman ever to stride the Wild West. In a gritty, complex portrayal hailed as a ""classic American performance"" (Bob Campbell, Newhouse Newspapers), Academy Award winner Costner (Dances with Wolves, The Bodyguard) plays the man who became a myth in acclaimed director Lawrence Kasdan's (The Big Chill, Silverado) epic, action-filled saga. Gene Hackman, an Oscar winner for Unforgiven, as Wyatt's iron-willed father, and Dennis Quaid (The Big Easy, The Right Stuff) as Earp's deadly best friend Doc Holliday add power to this mammoth, hard-hitting Western. From Wichita to Dodge City to the O.K. Corral in Tombstone, Arizona, Wyatt Earp is a thrilling journey of romance, adventure and desperate, heroic action.",Western,11435105.0,1.0,12.99,3.99,12.99,3.99,1994-09-01 07:00:00,8896
1437190744.0,track,Venom,,Ruben Fleischer,,19.99,19.99,,2018-10-03T07:00:00Z,USA,USD,Tom Hardy stars as the lethal protector and anti-hero Venom - one of Marvel’s most enigmatic and complex characters.,Action & Adventure,6726720.0,1.0,19.99,,19.99,,2018-10-03 07:00:00,98
442123718.0,track,The Lion King,,Roger Allers & Rob Minkoff,,14.99,19.99,,1994-06-24T07:00:00Z,USA,USD,"Embark on an extraordinary coming-of-age adventure as Simba, a lion cub who cannot wait to be king, searches for his destiny in the great ""Circle of Life."" You will be thrilled by the breathtaking animation, unforgettable Academy Award–winning music (1994: Best original score; best song, ""Can You Feel The Love Tonight""), and timeless story.",Kids & Family,5358815.0,1.0,14.99,,19.99,,1994-06-24 07:00:00,8965
270820879.0,track,Big Trouble In Little China,,John Carpenter,3.99,14.99,14.99,3.99,1986-07-02T07:00:00Z,USA,USD,"Jack Burton (Kurt Russell) is a simple man who doesn’t believe in ghosts or magic until he’s swept into a mind-boggling adventure deep within Chinatown’s mysterious underworld. Burton’s pal, Wang Chi (Dennis Dun), is trying to rescue his kidnapped fiancée. Egg Shen (Victor Wong), an enigmatic tour-bus driver seems to know a lot about ancient Chinese magic for a simple tour-bus driver. They do battle with an outlandish array of human and inhuman adversaries under the command of Lo Pan (James Hong), a 2000-year-old evil magician who has the power to transform himself from a wheelchair-bound old man into a seven-foot-tall mystical menace.",Action & Adventure,5995912.0,1.0,14.99,3.99,14.99,3.99,1986-07-02 07:00:00,11879
270815716.0,track,The Professional,,Luc Besson,3.99,12.99,17.99,3.99,1998-02-24T08:00:00Z,USA,USD,"Jean Reno, Gary Oldman, Natalie Portman and Danny Aiello star in Leon: The Professional, a go-for-broke thriller about a professional assassin whose work becomes dangerously personal. Calling himself a ""cleaner"", the mysterious Leon (Reno) is New York's top hitman. When his next-door neighbors are murdered, Leon becomes the unwilling guardian of the family's sole survivor - 12-year-old Mathilda (Natalie Portman), but Mathilda doesn't just want protection; she wants revenge. Training her in the deadly tricks of his trade, Leon helps her track the psychotic agent (Oldman) who murdered her family.",Action & Adventure,6565632.0,1.0,12.99,3.99,17.99,3.99,1998-02-24 08:00:00,7624
1434634632.0,track,Kin,,Jonathan Baker & Josh Baker,5.99,9.99,9.99,5.99,2018-08-31T07:00:00Z,USA,USD,"A recently released ex-con and his adopted younger brother are forced to go on the run. Chased by a vengeful criminal, the feds and a cadre of otherworldly soldiers, their only protection is a found weapon of mysterious ancestry.",Sci-Fi & Fantasy,6163040.0,1.0,9.99,5.99,9.99,5.99,2018-08-31 07:00:00,131
414437312.0,track,The Chronicles of Narnia: The Voyage of the Dawn Treader,,Michael Apted,3.99,14.99,14.99,3.99,2011-12-10T08:00:00Z,USA,USD,"Return to a world of wondrous fantasy in the third installment of C. S. Lewis’ The Chronicles of Narnia series. Lucy, Edmund and their cousin cross through a painting into Narnia, where they join King Caspian and a mouse aboard the mighty ship “The Dawn Treader.” There, they confront mystical creatures and reunite with the great lion Aslan on a mission that will determine Narnia’s fate!",Kids & Family,6781780.0,1.0,14.99,3.99,14.99,3.99,2011-12-10 08:00:00,2587
271469503.0,track,Harry Potter and the Sorcerer's Stone,,Chris Columbus,3.99,14.99,14.99,3.99,2001-11-16T08:00:00Z,USA,USD,"In this enchanting film adaptation of J.K. Rowling's delightful bestseller, Harry Potter learns on his 11th birthday that he is the orphaned first son of two powerful wizards and possesses magical powers of his own. At Hogwarts School of Witchcraft and Wizardry, Harry embarks on the adventure of a lifetime. He learns the high-flying sport Quidditch and plays a thrilling game with living chess pieces on his way to face a Dark Wizard bent on destroying him. For the most extraordinary adventure, see you on platform nine and three quarters!",Kids & Family,9141663.0,1.0,14.99,3.99,14.99,3.99,2001-11-16 08:00:00,6263
283909035.0,track,The Treasure of the Sierra Madre,,John Huston,2.99,9.99,9.99,2.99,1948-01-06T08:00:00Z,USA,USD,"Academy Award-winning drama stars screen-legend Humphrey Bogart (""Casablanca,"" ""The African Queen""), Walter Huston (""Yankee Doodle Dandy""), and Tim Holt (""The Magnificent Ambersons"") as three ill-fated prospectors who set out across the Mexican desert in search of gold but instead find mistrust, betrayal, and death. The legendary John Huston (""The African Queen,"" ""The Maltese Falcon"") won an Oscar for his superb direction and screenplay. His father, Walter, received an Oscar for Supporting Actor. Considered by many as Bogart's greatest role, this is a true American classic and was recently selected as one of the fifty best American films of all time by the prestigious American Film Institute. Look for an appearance by young Emmy-winner Robert Blake (TV's ""Baretta,"" ""Money Train""). Inducted into the Library of Congress National Film Registry.",Drama,7567608.0,1.0,9.99,2.99,9.99,2.99,1948-01-06 08:00:00,25936
320954891.0,track,Jeremiah Johnson,,Sydney Pollack,3.99,12.99,12.99,3.99,1998-09-25T07:00:00Z,USA,USD,"Superstar Robert Redford (""Up Close and Personal,"" ""Indecent Proposal"") stars in this powerful and unforgettable wilderness epic of a man who turns his back on civilization and learns a new code of survival in a brutal land of isolated mountains and hostile Indians. The Los Angeles Times calls this box-office hit ""an uncommon, extraordinarily appealing film experience,"" directed by Sidney Pollack (""The Firm,"" ""Tootsie"") and written by John Milius (""Apocalypse Now,"" ""Magnum Force"") and Academy Award-winner Edward Anhalt (""Member of the Wedding,"" ""Panic in the Streets"").",Drama,6955872.0,1.0,12.99,3.99,12.99,3.99,1998-09-25 07:00:00,7411
283377131.0,track,Pale Rider,,Clint Eastwood,3.99,12.99,12.99,3.99,1985-10-03T07:00:00Z,USA,USD,"Superstar boxoffice champ and Oscar-winner Clint Eastwood (""Unforgiven,"" ""Million Dollar Baby"") is back in the saddle again in one of the biggest hits of 1985. In the tradition of ""The Outlaw Josey Wales,"" Eastwood stars as the nameless stranger who saves a California gold-rush community from a merciless mining tycoon. An action-packed adventure climaxing in one of the most exciting showdowns ever filmed. Co-starring Emmy Award-winners Michael Moriarty (""Law & Order"") and Richard Dysart (""L.A. Law""), Christopher Penn (""Mulholland Falls"") and Carrie Snodgress (""Diary of a Mad Housewife"").",Western,6950078.0,1.0,12.99,3.99,12.99,3.99,1985-10-03 07:00:00,12151
